Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product tag line (product.metafields.custom.product_tag_line),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lord-murugan-karungali-mala-with-6-mukhi-rudraksh,Lord Murugan Karungali Mala with 6 Mukhi Rudraksh,"<div class=""upaasak-product""><p>Lord Murugan Karungali Mala combined with a 6 Mukhi Rudraksha is a powerful devotional combo deeply rooted in Sanatan Dharma. Karungali, also known as Ebony wood, is one of the most revered protective woods in Hindu tradition, widely used in South India for devotional practices associated with Lord Murugan. Paired with an authentic 6 Mukhi Rudraksha — a bead sacred to Lord Kartikeya — this combo delivers dual divine protection, courage, and focus for the sincere devotee.<br><br>The mala is crafted from 100% genuine Karungali beads, traditionally believed to ward off negative energy, evil eye, and external disturbances. The 6 Mukhi Rudraksha enhances willpower, concentration, and spiritual clarity. Both components are lab-certified using the OSOC (One Sample One Certificate) method and energized by UPAASAK before dispatch.<br><br>Suitable for all Rashis, this combo mala can be worn daily around the neck or used for japa practice. Ideal for those seeking protection, courage, and a deepened connection with Lord Kartikeya (Lord Murugan).</p><h3>Key Highlights</h3><ul><li>100% Genuine Karungali (Ebony) wood combined with 100% Genuine 6 Mukhi Rudraksha</li><li>Dual divine protection — wards off negative energy while invoking Lord Murugan and Kartikeya&#x27;s blessings</li><li>Lab-certified using OSOC method and energized by UPAASAK before dispatch</li><li>Sourced from verified suppliers — 100% Genuineity backed by QR-linked certificate</li><li>Suitable for all Rashis; especially beneficial for Mesh (Aries) and Vrishchik (Scorpio)</li></ul><h3>Specifications</h3><p>Suitable Rashi / Zodiac</p><ul><li>Suitable for all Rashis</li><li>Especially beneficial for Mesh (Aries) and Vrishchik (Scorpio)</li></ul><p>How to Wear</p><ul><li>Wear around the neck for daily spiritual use</li><li>Cleanse before first use by wiping gently with a dry, soft cloth</li></ul><p>Who Should Wear?</p><ul><li>Suitable for men and women of all ages</li><li>Recommended for those seeking spiritual protection, courage, and positivity</li></ul><p>Care Instructions</p><ul><li>Keep away from water and moisture</li><li>Do not use soap or chemical cleaners</li><li>Wipe gently with a dry, soft cloth</li><li>Store in a clean, dry place when not in use</li></ul><p>Auspicious Day to Start Wearing</p><ul><li>Saturday (traditional Karungali auspicious day)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men &amp; Women (Unisex)</li><li>Suitable for daily wear and spiritual practice</li></ul><h3>Box Contents</h3><ul><li>1 × Lord Murugan Karungali Mala with 6 Mukhi Rudraksha Combo</li><li>1 × UPAASAK Authenticity Certificate Card (with QR Code)</li><li>Premium Protective Packaging</li></ul><h3>Key Benefits</h3><ul><li>Traditionally believed to ward off negative energy and evil eye</li><li>Invokes Lord Murugan and Kartikeya&#x27;s blessings for courage, focus, and confidence</li><li>Dual divine protection combining Karungali wood and 6 Mukhi Rudraksha energy</li><li>Ideal for daily devotional wear and japa practice</li></ul><h3>FAQs</h3><p><strong>Who should wear this Karungali product?</strong><br>Suitable for men and women of all ages — especially those seeking spiritual protection, courage, and daily devotional practice.</p><p><strong>Can I wear Karungali while sleeping?</strong><br>Remove before sleeping. Store in a clean, dry place overnight.</p><p><strong>How do I know my Karungali is authentic?</strong><br>All UPAASAK Karungali products are lab-certified using OSOC method. Each product comes with a batch certificate card and QR code linking to the lab report.</p><p><strong>Can men and women both wear Karungali?</strong><br>Yes — Karungali is unisex and suitable for all genders and Rashis.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,Apparel & Accessories > Jewelry > Necklaces,Karungali,"Karungali, Protection, Courage, Lord Murugan, Certified, Energized, Original, Enquiry",TRUE,Title,Default Title,,,,,,,,KA-MRCO-01,0,shopify,100,deny,manual,0,,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Lord Murugan Karungali Mala with 6 Mukhi Rudraksh,FALSE,Lord Murugan Karungali Mala with 6 Mukhi Rudraksha | Dual Divine Prote,"Lord Murugan Karungali Mala combined with a 6 Mukhi Rudraksha is a powerful devotional combo deeply rooted in Sanatan Dharma. Karungali, also known as Ebony wood, is one of the most revered protective woods in Hindu tradition, widely used in South India for devotional practices associated with Lord ",,,,,new,,,,,,,Genuine Ebony Wood,,,kg,,,active
lord-murugan-karungali-mala-with-6-mukhi-rudraksh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Lord Murugan Karungali Mala with 6 Mukhi Rudraksh,,,,,,,,,,,,,,,,,,,,,
lord-murugan-karungali-mala-with-6-mukhi-rudraksh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Lord Murugan Karungali Mala with 6 Mukhi Rudraksh,,,,,,,,,,,,,,,,,,,,,
karungali-ebony-wood-mala-108-1-beads,Karungali Ebony Wood Mala — 108+1 Beads,"<div class=""upaasak-product""><p>The Karungali Mala is one of Sanatan Dharma&#x27;s most revered protective malas — crafted from 108+1 beads of genuine Karungali (Ebony) wood, a dense, dark wood traditionally considered a natural shield against negative energy, evil eye, and unwanted influences. Karungali has been used for centuries in South Indian devotional traditions and is associated with Lord Murugan&#x27;s protective grace. <br><br>This 108+1 bead mala is ideal for daily japa practice, meditation, and continuous protective wear around the neck. Each bead is dense and authentic, carefully sourced to meet UPAASAK&#x27;s quality standards. The mala undergoes lab certification using the OSOC (One Sample One Certificate) method, and each piece is energized before dispatch. Suitable for all Rashis and all ages, this mala is particularly recommended for those seeking energetic grounding and protection during daily life. An essential addition to any devotee&#x27;s spiritual practice.</p><h3>Key Highlights</h3><ul><li>100% Genuine Karungali (Ebony) wood — dense, heavy beads true to 100% Genuine Ebony standard</li><li>108+1 traditional bead count — ideal for daily japa and meditation</li><li>Lab-certified using OSOC method and energized by UPAASAK before dispatch</li><li>Suitable for daily neck wear and focused mantra chanting practice</li><li>Suitable for all Rashis, ages, and genders</li></ul><h3>Specifications</h3><p>Suitable Rashi / Zodiac</p><ul><li>Suitable for all Rashis</li></ul><p>How to Wear</p><ul><li>Wear around the neck for daily spiritual use</li><li>Cleanse before first use by wiping gently with a dry, soft cloth</li></ul><p>Who Should Wear?</p><ul><li>Suitable for men and women of all ages</li><li>Recommended for those seeking spiritual protection, courage, and positivity</li></ul><p>Care Instructions</p><ul><li>Keep away from water and moisture</li><li>Do not use soap or chemical cleaners</li><li>Wipe gently with a dry, soft cloth</li><li>Store in a clean, dry place when not in use</li></ul><p>Auspicious Day to Start Wearing</p><ul><li>Saturday (traditional Karungali auspicious day)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men &amp; Women (Unisex)</li><li>Suitable for daily wear and spiritual practice</li></ul><h3>Box Contents</h3><ul><li>1 × Karungali Mala (108+1 Beads)</li><li>1 × UPAASAK Authenticity Certificate Card (with QR Code)</li><li>Premium Protective Packaging</li></ul><h3>Key Benefits</h3><ul><li>Traditionally believed to protect against negative energy and evil eye</li><li>Supports emotional grounding and mental stability</li><li>Ideal for daily devotional wear and japa practice</li><li>Dense Karungali beads create a continuous protective energetic shield</li></ul><h3>FAQs</h3><p><strong>Who should wear this Karungali product?</strong><br>Suitable for men and women of all ages — especially those seeking spiritual protection, courage, and daily devotional practice.</p><p><strong>Can I wear Karungali while sleeping?</strong><br>Remove before sleeping. Store in a clean, dry place overnight.</p><p><strong>How do I know my Karungali is authentic?</strong><br>All UPAASAK Karungali products are lab-certified using OSOC method. Each product comes with a batch certificate card and QR code linking to the lab report.</p><p><strong>Can men and women both wear Karungali?</strong><br>Yes — Karungali is unisex and suitable for all genders and Rashis.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,Apparel & Accessories > Jewelry > Necklaces,Karungali,"Karungali, Protection, Lord Murugan, Certified, Energized, Original",TRUE,Title,Default Title,,,,,,,,KA-KMAL-02,0,shopify,100,deny,manual,799,999,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Karungali Ebony Wood Mala — 108+1 Beads,FALSE,Karungali Ebony Wood Mala 108+1 Beads | Evil Eye Protection & Negative,"The Karungali Mala is one of Sanatan Dharma's most revered protective malas — crafted from 108+1 beads of genuine Karungali (Ebony) wood, a dense, dark wood traditionally considered a natural shield against negative energy, evil eye, and unwanted influences. Karungali has been used for centuries in ",,,,,new,,,,,,,Genuine Ebony Wood,,,kg,,,active
karungali-ebony-wood-mala-108-1-beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Karungali Ebony Wood Mala — 108+1 Beads,,,,,,,,,,,,,,,,,,,,,
karungali-ebony-wood-mala-108-1-beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Karungali Ebony Wood Mala — 108+1 Beads,,,,,,,,,,,,,,,,,,,,,
silver-plated-karungali-ebony-wood-mala,Silver Plated Karungali Ebony Wood Mala,"<div class=""upaasak-product""><p>The Silver Plated Karungali Mala beautifully unites the protective spiritual energy of genuine Karungali (Ebony) wood with the elegance of silver-plated accents. Karungali is one of Sanatan Dharma&#x27;s most sacred protective woods, traditionally associated with Lord Murugan and widely believed to ward off negative energy, evil eye, and unwanted influences. <br><br>The addition of silver plating elevates this mala into a versatile spiritual accessory suitable for both daily devotional wear and festive occasions. Each bead is crafted from 100% genuine Karungali wood, authenticated using the OSOC (One Sample One Certificate) lab certification method, and energized by UPAASAK before dispatch. The silver detailing adds an aesthetically appealing finish without compromising the wood&#x27;s traditional protective properties. Suitable for all Rashis and all genders, this mala appeals to devotees who seek both spiritual protection and refined aesthetic in their daily wear. An excellent choice for personal use or gifting during Diwali, Navratri, housewarming ceremonies, and other auspicious occasions.</p><h3>Key Highlights</h3><ul><li>100% Genuine Karungali (Ebony) beads finished with elegant silver-plated accents</li><li>Versatile for daily devotional wear and festive occasions</li><li>Lab-certified using OSOC method and energized by UPAASAK before dispatch</li><li>Traditional Karungali protective energy in a refined premium design</li><li>Suitable for all Rashis, ages, and genders — ideal as a meaningful gift</li></ul><h3>Specifications</h3><p>Suitable Rashi / Zodiac</p><ul><li>Suitable for all Rashis</li></ul><p>How to Wear</p><ul><li>Wear around the neck for daily spiritual use</li><li>Cleanse before first use by wiping gently with a dry, soft cloth</li></ul><p>Who Should Wear?</p><ul><li>Suitable for men and women of all ages</li><li>Recommended for those seeking spiritual protection, courage, and positivity</li></ul><p>Care Instructions</p><ul><li>Keep away from water and moisture</li><li>Do not use soap or chemical cleaners</li><li>Wipe gently with a dry, soft cloth</li><li>Store in a clean, dry place when not in use</li></ul><p>Auspicious Day to Start Wearing</p><ul><li>Saturday (traditional Karungali auspicious day)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men &amp; Women (Unisex)</li><li>Suitable for daily wear and spiritual practice</li></ul><h3>Box Contents</h3><ul><li>1 × Silver Plated Karungali Mala</li><li>1 × UPAASAK Authenticity Certificate Card (with QR Code)</li><li>Premium Protective Packaging</li></ul><h3>Key Benefits</h3><ul><li>Traditionally believed to ward off negative energy and evil eye</li><li>Elegant silver-plated design suitable for festive and daily professional wear</li><li>Karungali&#x27;s traditional protective energy in a refined aesthetic format</li><li>Lab Tested and energized — authenticity guaranteed by UPAASAK</li></ul><h3>FAQs</h3><p><strong>Who should wear this Karungali product?</strong><br>Suitable for men and women of all ages — especially those seeking spiritual protection, courage, and daily devotional practice.</p><p><strong>Can I wear Karungali while sleeping?</strong><br>Remove before sleeping. Store in a clean, dry place overnight.</p><p><strong>How do I know my Karungali is authentic?</strong><br>All UPAASAK Karungali products are lab-certified using OSOC method. Each product comes with a batch certificate card and QR code linking to the lab report.</p><p><strong>Can men and women both wear Karungali?</strong><br>Yes — Karungali is unisex and suitable for all genders and Rashis.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,Apparel & Accessories > Jewelry > Necklaces,Karungali,"Karungali, Protection, Lord Murugan, Certified, Energized, Original, Enquiry",TRUE,Title,Default Title,,,,,,,,KA-SPKM-03,0,shopify,100,deny,manual,0,,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Silver Plated Karungali Ebony Wood Mala,FALSE,Silver Plated Karungali Ebony Wood Mala | Elegant Protection for Daily,"The Silver Plated Karungali Mala beautifully unites the protective spiritual energy of genuine Karungali (Ebony) wood with the elegance of silver-plated accents. Karungali is one of Sanatan Dharma's most sacred protective woods, traditionally associated with Lord Murugan and widely believed to ward ",,,,,new,,,,,,,Genuine Ebony Wood,,,kg,,,active
silver-plated-karungali-ebony-wood-mala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-2_209147.jpg,2,Silver Plated Karungali Ebony Wood Mala,,,,,,,,,,,,,,,,,,,,,
silver-plated-karungali-ebony-wood-mala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-3_209148.jpg,3,Silver Plated Karungali Ebony Wood Mala,,,,,,,,,,,,,,,,,,,,,
gold-plated-karungali-mala-hanuman-ji,Gold Plated Karungali Mala — Hanuman Ji,"<div class=""upaasak-product""><p>The Gold Plated Karungali Mala with Hanuman Ji Pendant combines the protective power of genuine Karungali (Ebony) wood with the divine strength of Lord Hanuman — making it one of UPAASAK&#x27;s most devotionally significant offerings. Karungali is traditionally associated with protection and courage in Sanatan Dharma, while the gold-plated Hanuman Ji pendant invokes Bajrang Bali&#x27;s legendary strength, courage, and fearlessness. Wearing this mala is particularly recommended for those with Mangal (Mars) dosha and devotees of Lord Hanuman seeking divine protection and inner strength. <br><br>The Karungali beads are 100% genuine, lab-certified using OSOC method, and the entire mala is energized by UPAASAK before dispatch. The gold plating adds a premium festive appeal while maintaining the spiritual integrity of the product. Suitable for all Rashis and genders, with specific benefit for Mesh (Aries) and Vrishchik (Scorpio) natives. An ideal daily wear and gifting option for Hanuman devotees.</p><h3>Key Highlights</h3><ul><li>100% Genuine Karungali (Ebony) beads with gold-plated Hanuman Ji pendant</li><li>Invokes Lord Hanuman&#x27;s strength, courage, and fearlessness</li><li>Lab-certified using OSOC method and energized by UPAASAK before dispatch</li><li>Especially beneficial for those with Mangal (Mars) dosha</li><li>Premium gold-plated finish — suitable for daily wear and gifting</li></ul><h3>Specifications</h3><p>Suitable Rashi / Zodiac</p><ul><li>Suitable for all Rashis</li><li>Especially beneficial for Mesh (Aries) and Vrishchik (Scorpio)</li></ul><p>How to Wear</p><ul><li>Wear around the neck for daily spiritual use</li><li>Cleanse before first use by wiping gently with a dry, soft cloth</li></ul><p>Who Should Wear?</p><ul><li>Suitable for men and women of all ages</li><li>Devotees of Lord Hanuman seeking strength and protection</li><li>Those with Mangal (Mars) dosha</li></ul><p>Care Instructions</p><ul><li>Keep away from water and moisture</li><li>Do not use soap or chemical cleaners</li><li>Wipe gently with a dry, soft cloth</li><li>Store in a clean, dry place when not in use</li></ul><p>Auspicious Day to Start Wearing</p><ul><li>Tuesday (Hanuman Ji&#x27;s auspicious day)</li></ul><p>Suitable For (Gender / Usage)</p><ul><li>Men &amp; Women (Unisex)</li><li>Suitable for daily wear and spiritual practice</li></ul><h3>Box Contents</h3><ul><li>1 × Gold Plated Karungali Mala with Hanuman Ji Pendant</li><li>1 × UPAASAK Authenticity Certificate Card (with QR Code)</li><li>Premium Protective Packaging</li></ul><h3>Key Benefits</h3><ul><li>Invokes Lord Hanuman&#x27;s blessings for strength, courage, and fearlessness</li><li>Karungali&#x27;s traditional protective energy wards off evil eye and negativity</li><li>Especially beneficial for Mangal dosha relief and Mars-related challenges</li><li>Premium gold-plated finish suitable for daily wear and gifting</li></ul><h3>FAQs</h3><p><strong>Who should wear this Karungali product?</strong><br>Suitable for men and women of all ages — especially those seeking spiritual protection, courage, and daily devotional practice.</p><p><strong>Can I wear Karungali while sleeping?</strong><br>Remove before sleeping. Store in a clean, dry place overnight.</p><p><strong>How do I know my Karungali is authentic?</strong><br>All UPAASAK Karungali products are lab-certified using OSOC method. Each product comes with a batch certificate card and QR code linking to the lab report.</p><p><strong>Can men and women both wear Karungali?</strong><br>Yes — Karungali is unisex and suitable for all genders and Rashis.</p><h3>Disclaimer</h3><ul><li>Benefits are belief-based, rooted in traditional Sanatan Dharma practices</li><li>UPAASAK does not claim or guarantee any specific outcomes</li><li>Individual results may vary based on faith and intention</li><li>Not a substitute for medical or professional advice</li><li>Authenticated using OSOC (One Sample One Certificate) method</li></ul></div>",Upaasak,Apparel & Accessories > Jewelry > Necklaces,Karungali,"Karungali, Protection, Courage, Lord Hanuman, Certified, Energized, Original, Enquiry",TRUE,Title,Default Title,,,,,,,,KA-GPKH-04,0,shopify,100,deny,manual,0,,TRUE,TRUE,,,,,,https://upaasak.com/cdn/shop/files/RJ177-3-1_209146.jpg,1,Gold Plated Karungali Mala — Hanuman Ji,FALSE,"Gold Plated Karungali Mala with Hanuman Ji Pendant | Strength, Courage",The Gold Plated Karungali Mala with Hanuman Ji Pendant combines the protective power of genuine Karungali (Ebony) wood with the divine strength of Lord Hanuman — making it one of UPAASAK's most devotionally significant offerings. Karungali is traditionally associated with protection and courage in S,,,,,new,,,,,,,Genuine Ebony Wood,,,kg,,,active
