Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product tag line (product.metafields.custom.product_tag_line),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
3-mukhi-red-sandalwood-bracelet-copy,4 Mukhi & Red Sandalwood Bracelet,"<ul>
<li>Balances mind, body and energy</li>
<li>Lab-certified, 100% natural bead</li>
<li>Energized before dispatch</li>
</ul>",Upaasak,Apparel & Accessories > Jewelry > Bracelets,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,80.00,100.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ214-4-1_209288.jpg?v=1774980606,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
3-mukhi-red-sandalwood-bracelet-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ214-4-2_209289.jpg?v=1774980606,2,"",,,,,,,,,,,,,,,,,,,,,
3-mukhi-red-sandalwood-bracelet-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ214-4-3_209290.jpg?v=1774980606,3,"",,,,,,,,,,,,,,,,,,,,,
3-mukhi-red-sandalwood-bracelet,3 Mukhi & Red Sandalwood Bracelet,"<ul>
<li>Balances mind, body and energy</li>
<li>Lab-certified, 100% natural bead</li>
<li>Energized before dispatch</li>
</ul>",Upaasak,Apparel & Accessories > Jewelry > Bracelets,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,70.00,90.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ177-3-1_209146.jpg?v=1774980492,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
3-mukhi-red-sandalwood-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ177-3-2_209147.jpg?v=1774980493,2,"",,,,,,,,,,,,,,,,,,,,,
3-mukhi-red-sandalwood-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ177-3-3_209148.jpg?v=1774980493,3,"",,,,,,,,,,,,,,,,,,,,,
2-mukhi-red-sandalwood-bracelet,2 Mukhi & Red Sandalwood Bracelet,"<ul>
<li>Balances mind, body and energy</li>
<li>Lab-certified, 100% natural bead</li>
<li>Energized before dispatch</li>
</ul>",Upaasak,Apparel & Accessories > Jewelry > Bracelets,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,60.00,90.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ416-1_209500.jpg?v=1774980103,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
2-mukhi-red-sandalwood-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ416-2_209501.jpg?v=1774980102,2,"",,,,,,,,,,,,,,,,,,,,,
2-mukhi-red-sandalwood-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ416-3_209502.jpg?v=1774980103,3,"",,,,,,,,,,,,,,,,,,,,,
1-mukhi-rudraksha-925-silver-cage-design-bracelet,1 Mukhi & Red Sandalwood Bracelet,"<ul>
<li>Balances mind, body and energy</li>
<li>Lab-certified, 100% natural bead</li>
<li>Energized before dispatch</li>
</ul>",Upaasak,Apparel & Accessories > Jewelry > Bracelets,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,50.00,80.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ422-1_203518.jpg?v=1774979790,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
1-mukhi-rudraksha-925-silver-cage-design-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ422-2_203519.jpg?v=1774979790,2,"",,,,,,,,,,,,,,,,,,,,,
1-mukhi-rudraksha-925-silver-cage-design-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0814/0659/1194/files/RJ422-3_203520.jpg?v=1774979790,3,"",,,,,,,,,,,,,,,,,,,,,
